Attribute ID,"MIF Class
",Subclass: specific types of data within a broader class,Attribute:  The specific characteristic being captured in a given field/term,Attribute definitions,Discovery: Is this metadata important for data discovery / to facilitate search discovery,"Discovery Level of Importance: quantitative score of importance of this metadata for discovery. 1-5 
1 == not useful
2 == may be useful but non essential
3 == useful but non essential
4 == useful and may be essential
5 == essential",Fit For Use:  Is this metadata important for determining if data is worth downloading.,"Fit For Use Level of Importance: quantitative score of importance of this metadata for discovery. 1-5 
1 == not useful
2 == may be useful but non essential
3 == useful but non essential
4 == useful and may be essential
5 == essential",Reuse: Is this metadata important for determining if data is sufficiently appropriate for use in a given usecase.,"Reuse Level of Importance: quantitative score of importance of this metadata for discovery. 1-5 
1 == not useful
2 == may be useful but non essential
3 == useful but non essential
4 == useful and may be essential
5 == essential"
1,Project,n/a,Investigators,name of primary investigator,Yes,2,Yes,2,No,1
2,Project,n/a,Sponsering organization,"name and description of organization sponsering the flight(s) (e.g. granting agency name, grant number)",Yes,2,Yes,2,No,1
3,Project,n/a,Project name,name of research project,Yes,3,Yes,2,No,1
4,Project,n/a,Dates,date range of the overall research project (not individual flights),Yes,3,Yes,3,Yes,4
5,Project,n/a,Research question(s),description of research question and project goals,Yes,3,Yes,3,Yes,4
6,Project,n/a,Feature of interest,"description of environmental or atmospheric features being observed to answer the research question (e.g., agricultural land, clouds)",Yes,4,Yes,4,Yes,3
7,Project,n/a,Use restrictions,"description of who owns the data collected, and under what terms it can be used",No,1,Yes,4,Yes,4
8,Project,n/a,Access restrictions,description of any restrictions and legal prerequisites for accessing the data (e.g. privacy or IP restrictions) ,Yes,2,Yes,5,Yes,5
9,Individual Flight,Flight Checks & Calibrations,Drone operator identification,name / license number of the person operating the drone,No,1,Yes,2,Yes,2
10,Individual Flight,Flight Checks & Calibrations,Flight regulatory information,description of relevant flight regulatory information (e.g. flight path restrictions),No,1,Yes,2,Yes,2
11,Individual Flight,Flight Checks & Calibrations,Flight safety procedures,record of pre-flight safety check done before a flight  ,No,1,No,1,No,1
12,Individual Flight,Flight Checks & Calibrations,Flight date and time,date and time of day of drone flight,Yes,4,Yes,4,Yes,5
